profile_id	c_number	count_code	country_name	fish_mgt_plan	url_fish_mgt_plan	gov_marine_fish	major_law_plan	url_major_law_plan	gov_protect_marine_env	url_gov_protect_marine_env
95	332	332	Haiti	"Ministry of Agriculture, Natural Resources and Rural Development"	http://agriculture.gouv.ht/view/01/?-Peche-et-Aquaculture-	"Ministry of Agriculture, Natural Resources and Rural Development"	National Development Program of Marine Fisheries in Haiti 2010-2014	http://agriculture.gouv.ht/view/01/IMG/pdf/Texte_Peche_-_MARNDR_2010.pdf		
126	446	446	Macau	Fishing Industry Advisory Committee	http://www.marine.gov.mo/ccp/	Macau Special Administrative Region Government		http://bo.io.gov.mo/bo/i/2007/09/regadm03.asp	Director of Environmental Services and Protection	http://www.dspa.gov.mo/
99	356	356	India	"Department of Animal Husbandry, Dairying and Fisheries"	http://dahd.nic.in/about-us/divisions/fisheries	Ministry of Agriculture	"The Wild Life (Protection) Amendment Act, 2002"	http://dahd.nic.in/sites/default/files/Comprehensive%2BMarine%2BFishing%2BPolicy_0.pdf	"Ministry of Environment, Forest and Climate Change"	http://envfor.nic.in/
21	56	56	Belgium	Department of Agriculture and Fisheries	http://lv.vlaanderen.be/nl/visserij/visserijbeleid	Ministry of the Flemish Community	"MMM"" act (act of 20 January 1999 on the protection of the marine environment in sea areas under Belgian jurisdiction"	http://ec.europa.eu/fisheries/index_nl.htm	Nature and Environment	http://www.vlaanderen.be/nl/natuur-en-milieu
42	156	156	China Main	Ministry of Agriculture	http://www.yyj.moa.gov.cn/	Ministry of Agriculture	Law of the People's Republic of China on the Protection of Wildlife	http://english.agri.gov.cn/governmentaffairs/lr/fish/201305/t20130509_19610.htm	"Marine Environment Protection Law of the People's Republic of China, 1999"	http://english.agri.gov.cn/governmentaffairs/lr/ep/201305/t20130509_19614.htm
202	706	706	Somalia	Ministry of Fisheries and Marine Resources	http://www.mofmr.somaligov.net/	Ministry of Fisheries and Marine Resources		http://faolex.fao.org/cgi-bin/faolex.exe?database=faolex&search_type=query&table=result&query=ID:LEX-FAOC004926&format_name=ERALL&lang=eng	Minister of Fisheries and Marine Resources	http://www.mofmr.somaligov.net/
121	422	422	Lebanon	Ministry of Agriculture	http://www.agriculture.gov.lb/Arabic/FishingInWater/Pages/default.aspx	Ministry of Agriculture	"Law 138, 16/9/1983; 444 (ICZM); Law 121/1992; 708/ 1998 (MPAs)"	http://faolex.fao.org/cgi-bin/faolex.exe?database=faolex&search_type=query&table=result&query=ID:LEX-FAOC144524&format_name=ERALL&lang=eng	Ministry of Environment	http://www.moe.gov.lb/
96	340	340	Honduras	Directorate General of Fisheries and Aquaculture	http://digepesca.sag.gob.hn/		"General Environment Law, 1993 pursuant to Decree 10-493"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000286&database=faolex&search_type=link&table=result&lang=spa&format_name=@SRALL	"Ministry of Energy, Natural Resources, Environment and Mining"	http://www.miambiente.gob.hn/
128	450	450	Madagascar	Department of Marine Resources and Fisheries	http://www.peche.gov.mg/	"Ministry of Agriculture, Breeding and Fishing"		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000344&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	National Environment Office	http://www.pnae.mg/
174	620	620	Portugal	"General Directorate of Natural Resources, Security and Maritime Services"	http://www.dgrm.mam.gov.pt/	"Ministério da Agricultura, Desenvolvimento Rural e Pescas (MADRP)"	"The Water Law: Decree Laws nos 45/94, 46/94 and 47/94,1994 ; National
Environmental Policy Plan in 1995"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000577&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"General Directorate of Natural Resources, Security and Maritime Services"	http://www.dgrm.mam.gov.pt/xportal/xmain?xpid=dgrm&actualmenu=1463295&selectedmenu=1470899&xpgid=genericPageV2&conteudoDetalhe_v2=1480040
101	364	364	Iran	Department of Fisheries	http://www.shilat-bushehr.ir/	Ministry of Agriculture	Environmental Protection and Enhancement Act (1974)	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000595&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Department of Environment	http://www.doe.ir/Portal/home/
119	414	414	Kuwait	Public Authority of Agriculture Affairs and Fish Resources	http://www.paaf.gov.kw/	Public Authority for Agriculture and Fisheries Resources		http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000694&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Environment Public Authority	http://www.epa.org.kw/
130		458	Malaysia	Department of Fisheries	http://www.dof.gov.my/	Ministry of Agriculture	"Environment Protection Enactment, 2002"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000773&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	Ministry of Natural Resources and Environment	http://www.nre.gov.my/
179		x004	Romania (Caspian Sea)	Directorate General for Fisheries	http://www.ampeste.ro/	"Ministry of Agriculture, Forests and Rural Development (MAFRD)"	"Environmental Protection (Law No. 137, 1995)"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=000964&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL	"Ministry of Environment, Energy and the Sea"	http://www.reunion.developpement-durable.gouv.fr/
213	736	736	Sudan	"Ministry of�Livestock, Fisheries and Rangelands"	http://www.marf.gov.sd/	Ministry of Animal Resources	"Environmental Law, 1975"	http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=001031&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL		
